                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.59689,                 0.6424,                 4.2578,                0.82039,                0.00287,                0.14613,                0.00792,                 0.0057,                0.00469,                0.23943,                0.01633,                0.01036,                0.39668,                      0,                 8.0236,                 0.5252,             0.00011662,             0.00011662,             0.00011662
                      1,                0.52896,                0.48438,                 3.5871,                0.79154,                0.02036,                0.98116,                  0.173,                0.11894,                0.02047,                0.98774,                0.17352,                0.14387,                 0.5129,                      0,                 7.4376,                0.52331,             0.00023998,             0.00023998,             0.00023998
                      2,                0.54003,                0.45437,                 3.1419,                0.78439,                0.58136,                0.15649,                0.18145,                0.12265,                0.58136,                0.15649,                0.18145,                0.14471,                0.56805,                      0,                 6.6671,                0.52353,             0.00036168,             0.00036168,             0.00036168
                      3,                0.55113,                0.44888,                 2.8548,                0.79335,                0.22966,                0.50834,                0.19318,                0.14183,                0.22966,                0.50834,                0.19318,                 0.1538,                0.54189,                      0,                 5.4212,                0.52146,             0.00048174,             0.00048174,             0.00048174
                      4,                0.58022,                 0.4492,                 2.6316,                0.79274,                0.22998,                0.62695,                0.21921,                 0.1813,                0.22998,                0.62695,                0.21921,                0.18799,                0.53432,                      0,                 4.9799,                0.52321,             0.00060015,             0.00060015,             0.00060015
                      5,                0.57734,                0.44985,                 2.5531,                0.79511,                0.11259,                0.63119,                 0.2097,                0.17957,                0.11259,                0.63119,                 0.2097,                0.17374,                0.49841,                      0,                 4.8554,                0.52447,              0.0007169,              0.0007169,              0.0007169
                      6,                0.57822,                0.46911,                 2.4366,                0.79904,                0.16124,                0.49746,                0.23367,                0.20472,                0.16124,                0.49746,                0.23367,                0.19762,                0.52719,                      0,                 4.8873,                0.52225,             0.00080001,             0.00080001,             0.00080001
                      7,                0.58145,                0.45087,                 2.3618,                0.79591,                 0.1758,                0.66309,                0.23244,                0.20433,                 0.1758,                0.66309,                0.23244,                0.19889,                0.47897,                      0,                 4.7159,                0.52489,             0.00080001,             0.00080001,             0.00080001
                      8,                0.57427,                0.43932,                 2.1981,                 0.7892,                0.23333,                0.65649,                0.30366,                0.25572,                0.23333,                0.65649,                0.30366,                 0.2426,                0.51917,                      0,                 4.4594,                 0.5298,             0.00079452,             0.00079452,             0.00079452
                      9,                0.56902,                 0.4446,                 2.1578,                0.79133,                0.20381,                 0.7149,                0.28279,                 0.2398,                0.20381,                 0.7149,                0.28279,                0.24311,                0.51234,                      0,                 4.3613,                0.52548,             0.00078902,             0.00078902,             0.00078902
                     10,                0.53656,                0.42817,                 2.0881,                0.79597,                0.26396,                0.59623,                0.33765,                0.28356,                0.26396,                0.59623,                0.33765,                0.28319,                0.49407,                      0,                  4.339,                0.52667,             0.00078352,             0.00078352,             0.00078352
                     11,                0.50864,                0.43001,                 2.0314,                0.79122,                0.24419,                0.70971,                0.32054,                0.27142,                0.24419,                0.70971,                0.32054,                0.28197,                0.48389,                      0,                 4.0955,                0.52565,             0.00077802,             0.00077802,             0.00077802
